Unnamed: 0,Unnamed: 1,Unnamed: 2,simultaneous,lag,simultaneous.1,lag.1,simultaneous.2,lag.2,simultaneous.3,lag.3,simultaneous.4,lag.4,simultaneous.5,lag.5,simultaneous.6,lag.6,simultaneous.7,lag.7,simultaneous.8,lag.8,simultaneous.9,lag.9,simultaneous.10,lag.10,simultaneous.11,lag.11,simultaneous.12,lag.12,simultaneous.13,lag.13,simultaneous.14,lag.14,simultaneous.15,lag.15
Latitude,Longitude,NDVI_Fortnight,MaxTemp,MaxTemp,MinTemp,MinTemp,DaysMaxTempAbove16,DaysMaxTempAbove16,DaysMaxTempAbove18,DaysMaxTempAbove18,DaysMaxTempAbove20,DaysMaxTempAbove20,DaysMaxTempAbove24,DaysMaxTempAbove24,DaysMinTempBelow16,DaysMinTempBelow16,DaysMinTempBelow18,DaysMinTempBelow18,DaysMinTempBelow20,DaysMinTempBelow20,DaysMinTempBelow24,DaysMinTempBelow24,Percentile99_Max,Percentile99_Max,Percentile95_Max,Percentile95_Max,Percentile90_Max,Percentile90_Max,Percentile99_Min,Percentile99_Min,Percentile95_Min,Percentile95_Min,Percentile90_Min,Percentile90_Min
29.625,75.208,3,-0.3936346847515957,-0.3768178201675054,0.5655697228337163,0.6490224867385397,-0.5695151029586578,-0.6167504085683148,-0.413295495710651,-0.4561311879830777,-0.1503040140857526,-0.08830023571662762,0.06862539823500619,0.0009145004208050133,,,,,,,,,-0.3936346847515957,-0.3768178201675054,-0.3936346847515957,-0.3768178201675054,-0.3936346847515957,-0.3768178201675054,0.5655697228337163,0.6490224867385397,0.5655697228337163,0.6490224867385397,0.5655697228337163,0.6490224867385397
29.625,75.291,3,-0.3595242704096867,-0.4254240749686631,0.4326405318448109,0.6269953095836189,-0.5081588099416308,-0.5270252133203678,-0.6100828296997375,-0.6466489405939638,-0.06486102508099327,-0.162177614826998,0.1603658747966384,0.01662955286289098,,,,,,,,,-0.3595242704096867,-0.4254240749686631,-0.3595242704096867,-0.4254240749686631,-0.3595242704096867,-0.4254240749686631,0.4326405318448109,0.6269953095836189,0.4326405318448109,0.6269953095836189,0.4326405318448109,0.6269953095836189
29.708,75.208,3,-0.3837838063011135,-0.32380144256136,0.5349247646922947,0.6717555307664647,-0.6397454120821843,-0.6033806019058775,-0.4002320685087503,-0.3732051809777414,-0.1812454679196023,-0.07036261757461468,0.1986498158334447,0.07203478952193917,,,,,,,,,-0.3837838063011135,-0.32380144256136,-0.3837838063011135,-0.32380144256136,-0.3837838063011135,-0.32380144256136,0.5349247646922947,0.6717555307664647,0.5349247646922947,0.6717555307664647,0.5349247646922947,0.6717555307664647
29.708,75.291,3,-0.3671594607056836,-0.3154755901833095,0.4781934899985821,0.6436111589594433,-0.5485182980383163,-0.4146505067494833,-0.6449688643261396,-0.5930366336299631,-0.1400687652318259,-0.1299430966257881,0.2099672421101045,0.1181783298697023,,,,,,,,,-0.3671594607056836,-0.3154755901833095,-0.3671594607056836,-0.3154755901833095,-0.3671594607056836,-0.3154755901833095,0.4781934899985821,0.6436111589594433,0.4781934899985821,0.6436111589594433,0.4781934899985821,0.6436111589594433
29.791,75.291,3,-0.3284555146489369,-0.3796717038051152,0.5579845129049179,0.6984568071278751,-0.5253062840025439,-0.4925405849104148,-0.6090735425169765,-0.647579950651187,-0.1328131482994107,-0.1914485960748036,0.2632445084237099,0.1256504065874476,,,,,,,,,-0.3284555146489369,-0.3796717038051152,-0.3284555146489369,-0.3796717038051152,-0.3284555146489369,-0.3796717038051152,0.5579845129049179,0.6984568071278751,0.5579845129049179,0.6984568071278751,0.5579845129049179,0.6984568071278751
29.791,75.374,3,-0.453596896919357,-0.6422005904219045,0.4806783795632726,0.6011442124798662,-0.5955779018276522,-0.793643543848469,-0.7668868916680356,-0.6966101692112091,-0.299558880520317,-0.3852830240493708,0.2091244990483408,-0.1140953814974068,,,,,,,,,-0.453596896919357,-0.6422005904219045,-0.453596896919357,-0.6422005904219045,-0.453596896919357,-0.6422005904219045,0.4806783795632726,0.6011442124798662,0.4806783795632726,0.6011442124798662,0.4806783795632726,0.6011442124798662
29.791,75.541,3,-0.3323974527617222,-0.2684500514973268,0.672986738348252,0.7171518772883541,-0.5028083939027875,-0.3575418796565596,-0.5411078862690167,-0.4717219692692833,-0.1171629436156258,-0.02021270155724748,0.08522703236922193,0.03694531307600058,,,,,,,,,-0.3323974527617222,-0.2684500514973268,-0.3323974527617222,-0.2684500514973268,-0.3323974527617222,-0.2684500514973268,0.672986738348252,0.7171518772883541,0.672986738348252,0.7171518772883541,0.672986738348252,0.7171518772883541
29.791,75.624,3,-0.3300033594501498,-0.3127024368899025,0.6278234527063719,0.5827881597177215,-0.5416427117720635,-0.4618712254495171,-0.5390112329580623,-0.5875257681208592,-0.1428010408975681,-0.04423757402012315,0.1548005005612408,0.1194443567806016,,,,,,,,,-0.3300033594501498,-0.3127024368899025,-0.3300033594501498,-0.3127024368899025,-0.3300033594501498,-0.3127024368899025,0.6278234527063719,0.5827881597177215,0.6278234527063719,0.5827881597177215,0.6278234527063719,0.5827881597177215
29.791,75.708,3,-0.6504606074490171,-0.3053257141266197,0.3336587416669846,0.1403967359540344,-0.7470773714825492,-0.5125072083615531,-0.8020165512836821,-0.5995131267145183,-0.5098995506221815,-0.1325732613460246,0.1252545098381234,0.01271525636366719,,,,,,,,,-0.6504606074490171,-0.3053257141266197,-0.6504606074490171,-0.3053257141266197,-0.6504606074490171,-0.3053257141266197,0.3336587416669846,0.1403967359540344,0.3336587416669846,0.1403967359540344,0.3336587416669846,0.1403967359540344
